strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
SuperTrend (Triple),TORNTPHARM,1h,Intraday,24,37.5,1.2322,0.2438,1.4731,9.5393,5.1932,31044.6637,25194.3759,3.4494,-1.6796,19.3096
Adaptive Edge (Vol+IB),BSE,15min,Intraday,110,40.9091,1.0819,0.0579,0.577,12.6268,5.1169,84120.8307,77755.9886,1.8694,-1.1962,12.3376
Flow Navigator (Vol),BSE,1h,Aggressive,19,36.8421,1.2716,0.3018,1.6246,5.5905,5.0837,26846.7283,21112.1717,3.8352,-1.7593,12.3376
SuperTrend (Triple),INDIGO,15min,Scalping,126,38.0952,1.1297,0.0423,0.8278,7.0426,5.0473,46478.7516,41143.8209,0.9683,-0.5275,7.2569
Flow Navigator (Vol),SHAILY,1h,Aggressive,13,30.7692,1.2635,0.5031,1.4786,7.548,4.9737,31361.2193,24820.8172,7.8403,-2.7579,62.6742
SuperTrend (Triple),PERSISTENT,15min,Scalping,125,38.4,1.1113,0.0426,0.7638,8.0641,4.9591,53177.0915,47851.9258,1.1079,-0.6215,4.0324
SuperTrend (Triple),THANGAMAYL,5min,Intraday,226,39.823,1.0515,0.0319,0.3407,13.3587,4.8554,147353.4344,140133.5084,1.6373,-1.0304,46.6111
ATM Premium (Open),MUTHOOTFIN,5min,Aggressive,98,28.5714,1.1121,0.0565,0.691,11.9451,4.8436,54980.3668,49439.4554,1.9636,-0.7063,-24.3252
SuperTrend (Triple),NIFTY_50,1h,Scalping,45,44.4444,1.3855,0.1065,2.2912,3.2684,4.7809,17220.8717,12428.9856,0.861,-0.4972,-4.6642
SuperTrend (Triple),TORNTPHARM,5min,Intraday,219,38.8128,1.0714,0.024,0.4881,13.0347,4.7047,78895.918,73635.5299,0.9282,-0.5495,19.3096
SuperTrend (Triple),ENRIN,15min,Aggressive,90,28.8889,1.0887,0.0652,0.5758,15.8627,4.5485,72017.4952,66148.9188,2.7699,-1.0336,31.7893
ORB + VWAP,TATAELXSI,5min,Aggressive,72,30.5556,1.1604,0.0662,0.9668,9.2928,4.4431,34468.1575,29704.5069,1.5667,-0.5941,-21.6101
ORB + VWAP,KAYNES,5min,Scalping,106,38.6792,1.1334,0.0445,0.8318,6.1612,4.4377,40079.8514,35360.9744,0.9776,-0.544,-6.669
SuperTrend (Triple),NIFTY_BANK,15min,Aggressive,77,31.1688,1.1903,0.0594,1.1772,3.512,4.4228,28592.0957,24020.9234,1.1913,-0.4532,-4.7945
SuperTrend (Triple),INDIGO,5min,Intraday,198,39.3939,1.0705,0.0251,0.4714,9.3151,4.3562,75399.3478,70436.1064,0.9667,-0.587,7.2569
Flow Navigator (Vol),LTM,1h,Aggressive,16,31.25,1.257,0.311,1.5177,7.2654,4.2832,24341.3779,19364.7306,4.8683,-1.7604,-4.9047
SuperTrend (Triple),ACUTAAS,15min,Aggressive,99,28.2828,1.0776,0.061,0.4822,19.8674,4.1771,83791.649,77756.6197,2.9926,-1.0952,51.2271
Flow Navigator (Vol),MUTHOOTFIN,1h,Scalping,25,44.0,1.2393,0.1759,1.5495,8.5073,4.0875,22769.3889,18372.8562,2.0699,-1.3123,-24.3252
SuperTrend (Triple),NETWEB,15min,Aggressive,94,30.8511,1.0739,0.0637,0.4782,24.7462,4.0175,86979.4172,80990.9169,2.9993,-1.246,65.5562
ATM Premium (Open),BSE,5min,Intraday,104,41.3462,1.0868,0.0429,0.6066,7.984,3.8863,55841.7419,51382.5093,1.2986,-0.8423,12.3376
SuperTrend (Triple),TORNTPHARM,1h,Scalping,37,35.1351,1.196,0.1116,1.2574,6.0307,3.8448,25195.8214,21066.9989,1.9381,-0.8778,19.3096
SuperTrend (Triple),NETWEB,15min,Intraday,87,41.3793,1.0694,0.067,0.483,13.076,3.827,89804.1951,83976.8276,2.4946,-1.6466,65.5562
Adaptive Edge (Vol+IB),NETWEB,15min,Scalping,183,36.612,1.0517,0.0283,0.3572,13.3038,3.8162,105300.1182,100128.4001,1.5716,-0.8632,65.5562
ORB + VWAP,LTM,5min,Intraday,83,43.3735,1.1046,0.0507,0.708,8.0844,3.7461,44437.532,40230.2998,1.2344,-0.856,-4.9047
Flow Navigator (Vol),NIFTY_BANK,1h,Aggressive,20,25.0,1.3079,0.1975,1.6289,6.8338,3.6669,16780.5144,12829.917,3.3561,-0.8553,-4.7945
ATM Premium (Open),LTM,5min,Scalping,114,39.4737,1.1112,0.0338,0.7725,6.8178,3.6479,38525.3375,34669.5093,0.8561,-0.5025,-4.9047
Flow Navigator (Vol),ENRIN,1h,Aggressive,17,29.4118,1.179,0.2679,1.1098,7.7663,3.4633,29998.8565,25444.1842,5.9998,-2.1203,31.7893
ATM Premium (Open),PERSISTENT,5min,Aggressive,106,29.2453,1.0723,0.0402,0.4789,13.2568,3.3918,63194.1401,58935.187,2.0385,-0.7858,4.0324
