symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,gross_profit,gross_loss,net_return,end_capital,pnl_usd,max_dd,avg_bars_held,oos_sharpe,p_loss,p_sup,dsr,wfa_passed,wfa_consistency,hodl_net_return,hodl_max_dd,excess_vs_hold,beats_hold
ETHUSD,30m,ma_crossover,Intraday_Trailing,3808,0.28335084033613445,0.43429667462996424,-4.96613948297576,-0.0023599863876700923,3449.6434899429864,7943.057572066841,-0.999888934699806,0.05553265009702665,-499.944467349903,-0.9998980397253026,4.826418067226891,-0.3470574249359793,1.0,0.0,0.0,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.8628515667411163,False
ETHUSD,30m,ma_crossover,Scale_Out_2R,1273,0.4925373134328358,0.8065158066088886,-1.4491537768584397,-0.0014958360426761338,3968.7139120077354,4920.813553171094,-0.8745728415116615,62.713579244169274,-437.2864207558307,-0.903302706317398,19.11861743912019,-0.1574087748990729,1.0,0.0,1.5086859539437114e-10,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.7375354735529718,False
ETHUSD,30m,mean_reversion,Scalping,987,0.315096251266464,0.7909251185510141,-1.5566966870122083,-0.001228784807994209,2294.0162999958093,2900.421602740951,-0.7248232678448125,137.58836607759375,-362.4116339224063,-0.7547103671103391,8.57548125633232,-0.17184051364483022,1.0,0.0,9.629161912272366e-10,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.5877858998861228,False
ETHUSD,30m,mean_reversion,Intraday,730,0.33013698630136984,0.8323811821708625,-1.237788617401121,-0.0018325244366383664,3321.5601326190813,3990.431551992085,-0.7851323278792085,107.43383606039575,-392.5661639396043,-0.8388692358143017,26.056164383561644,-0.12141243374253022,1.0,0.017,1.3987014785277196e-07,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.6480949599205188,False
ETHUSD,30m,mean_reversion,Aggressive,776,0.23582474226804123,0.8852331763240241,-0.7436419654107973,-0.0010873433134375946,3254.1662266156322,3676.0554322294192,-0.6492365522942749,175.3817238528625,-324.6182761471375,-0.7283994592669732,24.677835051546392,-0.06701390766606799,1.0,0.112,6.234295508666943e-06,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.5121991843355852,False
ETHUSD,30m,mean_reversion,Intraday_Trailing,988,0.2823886639676113,0.4133177672946744,-5.064277167317468,-0.0028649280483790374,997.0611782874106,2412.3356341866547,-0.9435477356452626,28.226132177368694,-471.7738678226313,-0.9460513681790098,6.0,-0.41173859827276943,1.0,0.0,0.0,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.8065103676865729,False
ETHUSD,30m,mean_reversion,Scale_Out_2R,788,0.46954314720812185,0.7917009574391268,-1.4981099871568502,-0.0017985969916920926,2693.419381520826,3402.0665962475114,-0.7899627228685628,105.01863856571855,-394.98136143428144,-0.8430852786521765,22.225888324873097,-0.13558300573569773,1.0,0.003,8.027671527521818e-09,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.6529253549098731,False
ETHUSD,30m,bb_rsi_reversion,Scalping,867,0.31257208765859285,0.7596531404205514,-1.819342776833367,-0.0014393037156633119,1972.0523249762784,2595.9904857163247,-0.7318838384535227,134.05808077323866,-365.94191922676134,-0.7522903293677554,7.91926182237601,-0.15627000143176165,1.0,0.001,3.311889096302423e-10,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.594846470494833,False
ETHUSD,30m,bb_rsi_reversion,Intraday,689,0.3367198838896952,0.8331948531565946,-1.243171299429532,-0.0018658190140916908,3210.6714963522427,3853.44614670683,-0.7723099017591004,113.84504912044976,-386.15495087955026,-0.8108882614973105,24.728592162554428,-0.11791786880374618,1.0,0.027,1.7502585997197784e-07,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.6352725338004107,False
ETHUSD,30m,bb_rsi_reversion,Aggressive,721,0.23855755894590847,0.8474165055025518,-1.0341836040911234,-0.0014885291200804653,2980.244985673067,3516.8597334620745,-0.7156553512791697,142.1723243604152,-357.8276756395848,-0.777838171269954,23.868238557558946,-0.17126843692115734,1.0,0.048,9.251037186297495e-07,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.57861798332048,False
